Year,Course,Combined,Module Code ,Module Title,Programme(s),Module Co-ordinator,Assessment Name,Assessment Weighting (%),Deadline (UCL Week),Deadline (weekday),Deadline Time,Deadline Date,Assessment Type,Remark
,,,MECH0009,Manufacturing and Design,2nd year MechEng,Bhagyalakshmi Dasari,Design Group Report,0.40,20,Monday,1:00:00 PM,21/3/2023,Group Coursework,
2,Minor,MECHWBF,MECH0013,Mechanics of Solids and Structures,2nd year MechEng; 2nd year EBF,Gaetano Burriesci,Quiz 8,0.10,26,Tuesday,6:00:00 PM,27/1/2023,Quiz ,
2,Minor,MECHWBF,MECH0011,Intermediate Thermodynamics and Fluid Mechanics,2nd year MechEng; 2nd year EBF,Andrea Ducci,Thermodynamics Lab Report,0.15,29,Friday,1:00:00 PM,30/1/2023,Lab Report,
2,Minor,MECHWBF,MECH0011,Intermediate Thermodynamics and Fluid Mechanics,2nd year MechEng; 2nd year EBF,Andrea Ducci,Thermodynamics Lab Report,0.15,29,Friday,10:00:00 AM,6/12/2022,Lab Report,
,,,MECH0015,Engineering Materials: Failures and Design,2nd year MechEng,Adam Wojcik,Lab Report,0.20,20,Thursday,1:00:00 PM,7/12/2022,Lab Report,
,,,MECH0015,Engineering Materials: Failures and Design,2nd year MechEng,Adam Wojcik,Failure Analysis Case Study,0.35,30,Friday,1:00:00 PM,22/2/2023,Failure Analysis Case Study,
,,,MECH0015,Engineering Materials: Failures and Design,2nd year MechEng,Adam Wojcik,Take Home Paper,0.50,38,Wednesday,10:00:00 AM,21/3/2023,Coursework,
2,Minor,MECHWBF,MECH0010,Control and Instrumentation,2nd year MechEng; 2nd year EBF,Ryo Torii,Lab Report,0.25,14,Friday,1:00:00 PM,7/12/2022,Lab Report,Variable Deadline
,,,MSIN0065,Economics 101,2nd year EBF,Yusuf Ishak,CashFlow Statement Assignment,0.25,24,Friday,9:00:00 AM,8/12/2022,Quiz,
,,,MECH0018,Fundamentals of Biomechanics,Biomedical Engineering,Sam Smith,Quiz,0.25,24,Friday,1:00:00 PM,8/11/2022,Quiz,
,,,MECH0019,Ocean Engineering Fundamentals,Ocean Engineering,Mohammad Ghandi,Final Report,0.70,30,Friday,1:00:00 PM,11/11/2022,Coursework,
,,,COMP0014,Introduction to Intelligent Systems,Intelligent Systems,Dwayne Johnson,Mid Term Summative Test,0.25,30,Friday,10:00:00 PM,10/11/2022,Quiz,
,,,ELEC0017,Introduction to Connected Systems,Connected Systems,Fred Zoller,Class Test,0.25,24,Friday,6:00:00 PM,9/12/2022,Quiz,
,,,CENG0014,Inorganic Chemistry for Engineers,Applied Chemistry & Molecular Engineering,Elizabeth Holmes,Chemistry Test,0.55,24,Friday,6:00:00 PM,20/1/2023,Quiz,
,,,COMP0014,Introduction to Intelligent Systems,Intelligent Systems,Dwayne Johnson,Final Report,0.75,24,Friday,1:00:00 PM,7/3/2023,Coursework,
,,,MSIN0066,Introduction to Accounting,2nd year EBF,Lee Hsien Loong,Take Home Problems,0.05,24,Friday,1:00:00 PM,16/3/2023,Quiz,
3,Minor,MECHWBF,MECH0020,Undergraduate Individual Project,3rd year MechEng; 3rd year EBF,Giles Thomas,Progress report,0.00,9,Friday,1:00:00 PM,28/10/2022,Coursework,
3,Minor,MECHWBF,MECH0026,Elasticity and Plasticity,3rd year MechEng; 3rd year EBF,Eral Bele,Elasticity Coursework,0.20,14,Tuesday,10:00:00 AM,27/10/2022,Coursework,
3,Minor,MECHWBF,MECH0023,Dynamics and Control,3rd year MechEng; 3rd year EBF,Ben Hanson,Coursework I,0.20,15,Thursday,5:00:00 PM,28/10/2022,Coursework,
3,Minor,MECHWBF,MECH0023,Dynamics and Control,3rd year MechEng; 3rd year EBF,Ben Hanson,Coursework II,0.20,15,Thursday,5:00:00 PM,20/12/2022,Coursework,
3,Minor,MECHWBF,MECH0023,Dynamics and Control,3rd year MechEng; 3rd year EBF,Ben Hanson,Coursework II,0.20,15,Thursday,1:00:00 PM,28/12/2022,Coursework,
3,Minor,MECHWBF,MECH0024,Advanced Thermodynamics and Fluid Mechanics,3rd year MechEng; 3rd year EBF,Ian Eames,Final Coursework,0.60,16,Friday,1:00:00 PM,4/4/2023,Coursework,
3,Minor,MECHWBF,MECH0024,Advanced Thermodynamics and Fluid Mechanics,3rd year MechEng; 3rd year EBF,Ian Eames,Fluids Coursework,0.20,16,Friday,1:00:00 PM,11/11/2022,Coursework,
3,Minor,MECHWBF,MECH0024,Advanced Thermodynamics and Fluid Mechanics,3rd year MechEng; 3rd year EBF,Ian Eames,Thermo Coursework,0.20,16,Friday,5:00:00 PM,28/2/2023,Coursework,
3,Minor,MECHWBF,MECH0020,Undergraduate Individual Project,3rd year MechEng; 3rd year EBF,Giles Thomas,Intermediate Report,0.20,9,Friday,4:00:00 PM,10/1/2023,Coursework,
,,,MSIN0068,Project Management,3rd year Mecheng,Edyta Kostanek,Team Plan,0.10,28,Wednesday,1:00:00 PM,24/2/2023,Coursework,
,,,MSIN0068,Project Management,3rd year Mecheng,Edyta Kostanek,Peer Review,0.05,28,Friday,1:00:00 PM,11/4/2023,Peer Review,
3,Minor,MECHWBF,MECH0026,Elasticity and Plasticity,3rd year MechEng; 3rd year EBF,Eral Bele,Plasticity Coursework,0.20,27,Friday,9:00:00 AM,10/3/2023,Coursework,
,,,MPHY0015,Physiological Monitoring,Biomedical Engineering,Apple Cheng,Quiz,0.25,24,Friday,1:00:00 PM,8/11/2022,Quiz,
,,,MECH0030,Maritime Design,Ocean Engineering,Liss Truzz,Final Report,0.70,30,Friday,1:00:00 PM,11/11/2022,Coursework,
,,,COMP0037,Robotic Systems,Intelligent Systems,Heywood Jablomi,Mid Term Summative Test,0.25,30,Friday,10:00:00 PM,10/11/2022,Quiz,
,,,ELEC0033,Internet of Things,Connected Systems,Sheikh Derpanis,Class Test,0.25,24,Friday,6:00:00 PM,9/12/2022,Quiz,
,,,CENG0014,Advanced Nanotechonology Systems,Nanotechnology,Magnus Carlsen,Chemistry Test,0.55,24,Friday,6:00:00 PM,14/3/2022,Quiz,
,,,CEGE0022,Water and Wastewater Treatment,Environmental Engineering,Jimmy Fallon,Final Report,0.75,24,Friday,1:00:00 PM,14/3/2022,Coursework,
,,,CEGE0022,Water and Wastewater Treatment,Environmental Engineering,Jimmy Fallon,Project Proposal,0.15,24,Friday,1:00:00 PM,1/2/2023,Coursework,
